scenario_id,global_track_id,vehicle_id_oracle,label,sc_speed_limit_mps,kin_speed_mean_mps,kin_speed_max_mps,kin_speed_min_mps,kin_speed_std_mps,kin_speed_p90_mps,kin_speed_over_limit_frac,kin_speed_excess_max_mps,kin_speed_excess_mean_mps,kin_speed_cv,kin_lateral_vel_mean_mps,kin_lateral_vel_max_mps,kin_speed_jump_max_mps,kin_heading_change_rate_max_rad_per_s,kin_stopped_frac,kin_stop_event_count,kin_max_stopped_steps,kin_max_stopped_duration_s,kin_accel_mean_abs_mps2,kin_accel_max_abs_mps2,kin_accel_std_mps2,kin_phys_impossible_v,kin_phys_impossible_a,kin_lateral_accel_max_mps2,kin_decel_max_mps2,kin_high_decel_frac,kin_decel_event_count,kin_jerk_max_mps3,kin_jerk_mean_abs_mps3,kin_lateral_dev_mean_m,kin_lateral_dev_max_m,kin_lateral_dev_std_m,kin_lateral_peak_to_peak_m,kin_lateral_oscillation_ratio,kin_lateral_speed_max_mps,kin_road_heading_diff_mean_rad,kf_pos_err_mean_m,kf_pos_err_max_m,kf_pos_err_std_m,kf_pos_err_p90_m,kf_track_rmse_m,kf_rolling_rmse_spike_count,kf_sigma_pos_mean_m,kf_sigma_pos_max_m,kf_consistency_ratio_mean,kf_consistency_ratio_max,kf_overconfident_frac,kf_sigma_growth_rate_during_gaps_m_per_s,kf_post_dropout_jump_m,cov_total_rows,cov_pred_only_count,cov_pred_only_frac,cov_max_consec_pred,cov_n_dropout_events,cov_duration_s,dis_das_cam_mean_m,dis_das_cam_max_m,dis_das_hat_mean_m,dis_das_hat_max_m,dis_cam_hat_mean_m,dis_cam_hat_max_m,dis_gps_hat_mean_m,dis_gps_hat_max_m,dis_das_only_err_mean_m,dis_cam_only_err_mean_m,dis_das_worse_than_cam,das_n_measurements,das_snr_mean,das_snr_min,das_snr_max,das_snr_std,das_snr_low_frac,das_sigma_mean_m,das_sigma_max_m,das_confidence_mean,das_sigma_v_mean_mps,das_accept_frac,das_skip_frac,das_W_est_std_kg,das_W_est_cv,cam_n_measurements,cam_confidence_mean,cam_confidence_min,cam_confidence_std,cam_low_conf_frac,cam_sigma_mean_m,cam_accept_frac,gps_n_measurements,gps_sigma_mean_m,aud_skip_total,aud_skip_frac,aud_skip_reason_top,aud_skip_chi2_frac,cov_das_active_frac,cov_cam_active_frac,cov_gps_active_frac,cov_multi_sensor_frac,cov_single_sensor_frac,cov_no_sensor_frac,cov_das_cam_overlap_frac,cov_das_gps_overlap_frac,cov_cam_gps_overlap_frac,cov_all_sensors_frac,cov_dominant_sensor,cov_err_das_only_m,cov_err_cam_only_m,cov_err_gps_only_m,cov_err_multi_sensor_m,cov_err_no_sensor_m,cov_fusion_benefit_vs_best_single,cov_err_cam_no_das_m,cov_err_cam_with_das_m,cov_das_fusion_benefit_m,cov_gap_frac_early,cov_gap_frac_middle,cov_gap_frac_late,cov_gap_clustering_cv,cov_high_speed_gap_frac,cov_mean_speed_at_gaps_mps,cov_das_hz_est,cov_cam_hz_est,cov_gps_hz_est,cov_das_update_share,cov_cam_update_share,cov_gps_update_share,cov_dominant_kalman_updater,cov_das_amplitude_mean,cov_das_amplitude_std,cov_das_amplitude_cv,das_amplitude_vs_dist_pearson_r,cov_das_fiber_dist_mean_m,cov_das_fiber_dist_std_m,cov_das_fiber_dist_max_m,cov_das_fiber_dist_cv,cov_das_lateral_offset_mean_m,cov_das_lateral_offset_std_m,cov_das_lateral_offset_max_m,cov_das_lateral_offset_abs_mean_m,cov_das_lateral_offset_range_m,cov_das_lateral_frac_outside_half_m,cov_das_lateral_frac_outside_1m,cov_das_lateral_sign_changes,cov_das_lateral_consistent_side_frac,cov_das_lateral_change_rate_max,iv_n_other_vehicles,iv_min_dist_m,iv_mean_min_dist_m,iv_p10_min_dist_m,iv_close_proximity_frac,iv_tailgate_proximity_frac,iv_overlap_frac,iv_overlap_duration_s,iv_ttc_min_s,iv_ttc_below_2s_frac,iv_closing_speed_max_mps,iv_time_headway_mean_s,iv_speed_proximity_ratio_max,iv_speed_excess_over_others_mps,iv_speed_ratio_to_others,iv_speed_pearson_r_traffic,iv_decel_at_min_dist_mps2,iv_rel_speed_at_min_dist_mps,iv_collision_risk_proxy,iv_others_mean_speed_when_stopped,das_W_est_kg,das_W_est_class
028/normal_fast_legal,T000007,veh007,normal,8.333,13.432522029159124,41.28587215949301,11.07920705149967,3.006896595326479,14.352832882804103,1.0,32.95287215949301,5.099522029159117,0.22385197573464996,3.7730250704225345,31.4986,17.877637005419878,16.423382475808875,0.0,0,0,0.0,5.954845012854655,19.731979819572082,4.352080355004855,3,88,18.9946,12.838885521000075,0.09014084507042254,5,4.746839535342041,0.7775862909617599,5.257640028565759,11.162508169014075,2.9807048022684426,21.557999999999993,0.5669282769595686,43.52500000000057,0.15995625173654615,0.3366036619718308,1.5706,0.2633573078475735,0.6619800000000002,0.4271577282654514,13,0.181947042253521,0.5121,1.856473562160628,8.244089834515368,0.35492957746478876,,0.28988134337182625,355,148,0.4169014084507042,1,148,7.08,0.34723076923074375,0.6126999999999043,0.3103084269662981,1.2497000000000753,0.11513414634148875,0.34579999999982647,4.219999999999982,7.3215999999999894,0.3255563636363637,0.2031035714285714,1.0,178,39.25515786516852,9.0878,155.5556,31.464890950550306,0.0,0.39091011235955003,0.6634,0.7796101123595502,15.453885393258425,1.0,0.0,1835.0324402360936,0.8015479407476639,43,0.5679255813953489,0.258,0.20097550086778906,0.09302325581395349,0.15725813953488374,1.0,5,4.4627799999999995,0,0.0,,,0.5014084507042254,0.11549295774647887,0.014084507042253521,0.04788732394366197,0.5352112676056338,0.4169014084507042,0.036619718309859155,0.011267605633802818,0.0,0.0,DAS,0.3286006211180125,0.2031035714285714,0.158,0.2672529411764706,0.3797391891891893,-0.10925294117647058,0.2031035714285714,0.2870153846153846,-0.0839118131868132,0.4491525423728814,0.4067796610169492,0.3949579831932773,0.598270239694782,0.033783783783783786,13.416892344454443,25.141242937853107,5.790960451977401,0.7062146892655368,0.7876106194690266,0.1902654867256637,0.022123893805309734,DAS,314.04124887640455,251.7191329135503,0.8015479935013824,0.9999999976531387,1.3959870786516846,0.5954362751308488,3.0235,0.4265342310374044,0.6040129213483145,0.5954362751308487,1.8,0.7055511235955059,2.8235,0.6067415730337079,0.25842696629213485,4.0,0.8370786516853933,11.50249999999999,8,0.0957280000835022,23.562042695047108,1.1064220045252005,0.4084507042253521,0.36619718309859156,0.27323943661971833,1.94,0.017778738750912113,0.022535211267605635,18.89220695838297,1.829952408656568,44.747375508290986,1.964717837709074,1.1713246760154739,-0.07821146051732725,1.7075560223801198,18.273556660547396,1533.6938121957494,,2289.3608066966285,car
028/normal_fast_legal,T000008,veh008,normal,8.333,13.634912113053636,17.130402803203435,6.35125541999375,1.416229806051906,15.186452919778004,0.9874804381846636,8.797402803203434,5.383250454256347,0.10386790866778321,5.696768544600939,12.337,3.382707907084857,12.92994530881092,0.0,0,0,0.0,5.36446818132079,18.157737479377765,3.5682450428510677,0,139,15.6619,5.855530757528375,0.06416275430359937,14,9.236621932754316,0.9774471699768961,18.819991516478456,41.377638654147106,10.492416502271356,74.43140000000001,0.5575144118999404,43.564999999999536,0.1523656347623349,0.355929890453834,1.1371,0.19153368643486626,0.6207400000000001,0.4041210582271857,3,0.23320078247261333,0.4516,1.5757837622937252,5.6983087834151664,0.25508607198748046,,0.338070320152755,639,305,0.47730829420970267,1,305,12.76,0.6076499999999214,0.6205999999999676,0.26501843750000376,1.5160000000000764,0.2519416666666719,0.5683000000001357,2.6276181818181654,6.5465999999998985,0.33182264150943386,0.38383,0.0,320,57.98030968750005,10.2929,222.7732,46.35676204152064,0.0,0.3586946874999995,0.6234,0.8232228125000006,14.529759374999973,1.0,0.0,2703.5263622614852,0.799525947539303,12,0.25683333333333336,0.1544,0.06414744851913559,0.75,0.23614166666666667,1.0,14,4.642764285714286,0,0.0,,,0.5007824726134585,0.018779342723004695,0.017214397496087636,0.014084507042253521,0.5086071987480438,0.47730829420970267,0.003129890453834116,0.010954616588419406,0.0,0.0,DAS,0.3321102893890675,0.38383,0.267575,0.3018222222222222,0.38205868852459013,-0.03424722222222221,0.38383,0.24155000000000001,0.14228,0.48826291079812206,0.47417840375586856,0.4694835680751174,0.5869088784753491,0.0,13.660473690048454,25.078369905956112,0.9404388714733543,0.8620689655172414,0.9248554913294798,0.03468208092485549,0.04046242774566474,DAS,463.842510625,370.8541013639504,0.7995259012897432,0.9999999960124665,1.4590921875000002,0.7864085894511822,3.477,0.5389711467091123,0.5400553124999996,0.7860972278896718,1.8,0.8154046874999995,3.277,0.684375,0.371875,5.0,0.78125,13.422499999999987,8,43.16521851722743,177.3367609481025,61.12367300059722,0.0,0.0,0.0,0.0,20.622012996352037,0.0,6.270848293308682,13.2420995531644,0.3101224313902387,2.1924066820904002,1.1916019787203056,0.07090082677816455,0.0,13.770452588394699,9.477052253582627,,3381.4116609750035,van_truck
028/normal_fast_legal,T000009,veh009,normal,8.333,13.554181474938378,15.618783651104206,11.001456449943342,0.8175892348289272,14.584422563663251,1.0,7.285783651104206,5.221181474938389,0.06032007438742399,7.609974386920975,11.598,2.1878447666925442,8.381838363832609,0.0,0,0,0.0,4.3877187469089955,11.800049820233811,2.448746316161418,0,37,8.3504,5.104072763037528,0.08719346049046321,11,6.788422302827456,0.9108302988924707,13.568110886560893,27.961636784741103,8.132503662903327,55.411699999999996,0.5993836379210689,25.35000000000023,0.10115219143458877,0.25182588555858326,0.6825,0.1339251567361248,0.4263000000000003,0.2851374273088612,0,0.156817711171662,0.2017,1.6131045451075898,5.145869947275923,0.2888283378746594,,0.3044530979396742,367,155,0.4223433242506812,1,155,7.32,0.4375100000000202,0.6965999999999894,0.24074728260869388,0.7384000000001834,0.1729305555555369,0.6890000000000782,4.279187499999978,9.16190000000006,0.23782931034482752,0.18382692307692303,1.0,184,341.74863586956525,119.661,951.1308,181.16569811182663,0.0,0.2999999999999991,0.3,0.971693478260869,12.608940217391263,1.0,0.0,10565.583513881733,0.5301138880945581,37,0.5454081081081081,0.1507,0.2009681295606323,0.16216216216216217,0.16197027027027025,1.0,10,4.656419999999999,0,0.0,,,0.5013623978201635,0.09809264305177112,0.021798365122615803,0.04087193460490463,0.5367847411444142,0.4223433242506812,0.027247956403269755,0.01634877384196185,0.0027247956403269754,0.0027247956403269754,DAS,0.23823076923076913,0.18382692307692303,0.36295,0.19882,0.28175096774193553,-0.01499307692307697,0.18382692307692303,0.1861,-0.002273076923076961,0.4426229508196721,0.39344262295081966,0.43089430894308944,0.5930568066524289,0.0,13.56454085191475,25.13661202185792,4.918032786885246,1.0928961748633879,0.7965367965367965,0.16017316017316016,0.04329004329004329,DAS,2733.9890750000013,1449.3255993676141,0.5301138957066291,0.9999999968859277,1.7209505434782613,0.5516664428372533,3.051,0.3205591496675232,0.278911956521739,0.5516103280975716,1.3691,0.506353260869565,2.4200999999999997,0.42934782608695654,0.125,9.0,,14.564999999999987,8,34.90761567480664,97.30146006675848,47.27039046968615,0.0,0.0,0.0,0.0,11.221979613076021,0.0,17.40079019311066,7.205607358034028,0.38755433475258694,2.101584714210736,1.1835028996582966,-0.060995131537371454,-0.0,12.460208249418459,9.477052253582627,,19930.78044391305,bus_hgv
028/normal_fast_legal,T000010,veh010,normal,8.333,9.499513883356503,26.70565718139136,2.0709004225215657,1.4114280504050454,10.911325885328756,0.7543296985246953,18.37265718139136,1.6209025889829605,0.1485789765387805,7.627708274534948,23.5007,14.236491924446758,98.99998048161265,0.0,0,0,0.0,5.625487238415442,44.27668497369694,5.485336930602832,0,289,43.4305,13.75592111751063,0.04746632456703015,29,40.795550702238344,0.983165278594627,57.8461518845858,107.59246080821038,29.30475093254613,194.7071,0.5065981051084392,43.510000000000524,0.20539717138166944,0.3097896087235408,2.2176,0.22457943943281458,0.55882,0.3825874734358394,26,0.18781751122514453,0.3944,1.7422535181318233,22.316820276497698,0.2835150737652341,,0.250249372560457,1559,663,0.4252726106478512,1,663,31.16,0.4075999999999847,0.6815999999998894,0.3047417948717939,1.9517000000000735,0.18049599999999735,0.9572999999998046,3.313695833333346,10.133600000000115,0.30009934810951755,0.2126669642857142,1.0,780,65.76559705128201,11.1648,243.5241,55.041956945250895,0.0,0.3440171794871828,0.5986,0.8393201282051277,14.059761666666637,1.0,0.0,3210.046929047033,0.8369414924087255,135,0.5451162962962963,0.1566,0.2161579519245361,0.1925925925925926,0.16704296296296298,1.0,26,4.544784615384615,0,0.0,,,0.5003207184092366,0.08017960230917255,0.015394483643361129,0.021167415009621552,0.5535599743425272,0.4252726106478512,0.008338678640153944,0.008980115458627326,0.003848620910840282,0.0,DAS,0.300757503320053,0.20863018867924518,0.19305,0.25841212121212126,0.3394826546003017,-0.06536212121212126,0.2126669642857142,0.2398384615384615,-0.027171497252747312,0.42003853564547206,0.4393063583815029,0.4165067178502879,0.5726888659455501,0.0015082956259426848,9.525991772538303,25.032092426187415,4.011553273427472,0.7702182284980744,0.8289054197662061,0.1434643995749203,0.02763018065887354,DAS,526.1247633333335,440.3356514450077,0.8369415053859137,0.9999999970266763,1.4053097435897435,0.7409314426472938,3.4577,0.5272371062870793,0.5906256410256421,0.7400711408811025,1.8,0.8096815384615395,3.2577,0.6897435897435897,0.33974358974358976,15.0,0.791025641025641,15.604999999999642,8,0.0957280000835022,21.361423615991118,10.782135942138781,0.09300833867864015,0.08338678640153944,0.062219371391917896,1.94,0.017778738750912113,0.03463758819756254,19.484124888682114,2.3411986368080484,27.578277639452423,-2.459916326318874,0.7943115781277974,0.22033492073636918,0.8149734167066628,13.85851202497806,1533.6938121957494,,3835.4496200307676,van_truck
028/normal_heavy_traffic,T000001,veh001,normal,8.333,9.034322394022233,17.54755744740561,3.7101235895856624,1.4956285180063038,10.380026233463209,0.5837133550488599,9.214557447405609,1.5772403224988203,0.1655496065754661,7.571983778501642,15.8372,3.4976103599356696,66.21330657732547,0.0,0,0,0.0,4.831262350878543,46.94344549625645,5.680982850568058,0,146,40.5947,5.3245396327970065,0.04495114006514658,22,11.782785404547734,0.6915208504973109,54.722846327239544,116.99602273615636,29.07450805182398,195.5361,0.5313047475264728,50.964999999992806,0.17815988043708728,0.3477240390879476,1.4878,0.21512775677712237,0.6308,0.4088542641209729,21,0.2731616938110748,0.594,1.3772971443746937,8.574115044247788,0.18306188925081432,,0.24532543556028352,1535,662,0.43127035830618893,1,662,30.68,0.5462583333333745,1.0398000000000138,0.4402647135416693,2.0489000000000033,0.18430973451327634,0.7200000000000273,4.5658695652174055,10.067700000000059,0.3438025132275136,0.21096138613861393,1.0,768,18.495621354166648,6.271,156.7748,18.38331989287412,0.0,0.5379098958333329,0.7987,0.6410542968749996,20.257888671875005,1.0,0.0,1072.1152161524196,0.9939282136489431,126,0.5371960317460319,0.154,0.21637584722913733,0.21428571428571427,0.1678206349206349,1.0,25,4.491516000000001,0,0.0,,,0.5003257328990228,0.0736156351791531,0.01498371335504886,0.020195439739413682,0.5485342019543974,0.43127035830618893,0.007817589576547232,0.009120521172638436,0.003257328990228013,0.0,DAS,0.34458059299191407,0.21142395833333336,0.31067500000000003,0.23115483870967743,0.3766954682779455,-0.019730880376344073,0.21096138613861393,0.1599583333333333,0.05100305280528061,0.4090019569471624,0.4598825831702544,0.4249512670565302,0.5677022183042826,0.0,9.052540732367401,25.032594524119947,3.6831812255541068,0.7496740547588006,0.8356909684439608,0.13710554951033732,0.02720348204570185,DAS,147.96496718750004,147.06656523580605,0.9939282793165795,0.9999999989168751,2.313418749999999,0.7435103812330418,3.8,0.32139031519176636,-0.3177880208333336,0.7449647153950055,1.8,0.6558046874999997,3.6,0.55078125,0.22526041666666666,28.0,0.6666666666666666,17.937500000000384,12,15.089810263883475,72.47687140673884,44.6743373385038,0.0,0.0,0.0,0.0,2.6439958722724577,0.0,24.3313019440805,8.281258969418138,1.1130501991914952,-2.0182463222491904,0.8173957227447083,0.3579275458007272,-5.69742646539559,13.407898766079223,25.589990096351347,,1078.664637374999,car
028/normal_heavy_traffic,T000002,veh002,normal,8.333,12.564259366409038,17.280716513501403,6.75095957994121,2.742664616094228,15.718486312031224,0.9452054794520548,8.947716513501403,4.479789545546393,0.21829099003056499,7.075837359900376,11.6384,4.603318839096033,32.12824548434889,0.0,0,0,0.0,4.762857463411403,45.26158376647905,6.00032550643135,0,55,10.5951,7.885477308308862,0.048567870485678705,12,17.52760724774056,0.8112448055189811,28.824870593307473,62.30306288916563,17.13614494115221,114.1068,0.5944916521197102,31.76500000000072,0.12877876570417682,0.2912104607721046,0.9818,0.15492025312428218,0.4973200000000001,0.3298089280419639,0,0.22488306351183077,0.4643,1.380316173096487,5.062864549578743,0.1917808219178082,,0.2912954205202245,803,353,0.4396014943960149,1,353,16.04,0.36838888888890625,1.2070999999998548,0.37225298507462695,1.784800000000132,0.1372326923076868,0.5008000000000266,3.6191312499999952,11.9525000000001,0.28646310432569977,0.21926046511627909,1.0,402,37.53412835820895,7.7852,195.1944,41.53598055194391,0.0,0.45710472636815913,0.7168,0.7236365671641787,17.651043034825864,1.0,0.0,2422.378385789371,1.1066190256382968,55,0.5083254545454546,0.1545,0.22592121227295622,0.2909090909090909,0.17435090909090908,1.0,18,4.711322222222224,0,0.0,,,0.5006226650062267,0.0647571606475716,0.019925280199252802,0.023661270236612703,0.5367372353673724,0.4396014943960149,0.0112079701120797,0.012453300124533,0.0024906600249066002,0.0012453300124533001,DAS,0.28715703125,0.22194761904761903,0.36360000000000003,0.2290894736842105,0.30617903682719544,-0.007141854636591477,0.21926046511627909,0.21495555555555554,0.004304909560723547,0.4606741573033708,0.44569288389513106,0.41263940520446096,0.5941522183724127,0.0,12.767077278326285,25.062344139650875,3.2418952618453862,0.9975062344139651,0.8463157894736842,0.11578947368421053,0.037894736842105266,DAS,300.2730121890549,332.2878463386312,1.1066190861315883,0.99999999786178,2.046405472636816,1.0145970422411987,3.8,0.49579472680645215,-0.04657736318407964,1.014481068411137,1.8,0.8556236318407958,3.6,0.664179104477612,0.4079601990049751,10.0,,15.242499999999984,12,17.08238039296627,108.55273974088222,29.601753163767295,0.0,0.0,0.0,0.0,1.1457681920930916,0.09339975093399751,28.424830762743895,9.819692684673207,0.8742490338123581,1.8058520645031813,1.167854963455722,0.8454146823464892,-0.21911652950641594,16.041768436680965,53.78608420253961,,2188.9903658507465,car
028/normal_heavy_traffic,T000003,veh003,normal,8.333,9.20020491452833,12.40237968496369,6.837443529565711,0.9067700895155928,10.294008156731966,0.6591760299625468,4.069379684963689,1.3461037872330706,0.09855977099854417,7.939215730337076,12.3772,2.622078683466368,15.247090922778876,0.0,0,0,0.0,4.136757560955219,11.98534643512652,2.98307082105475,0,38,7.8343,6.335899478024884,0.052434456928838954,4,6.096436450025009,0.7830755398022734,10.339775471671649,21.55634906367041,6.046037143552162,42.18169999999999,0.5847358252717154,23.944999999999773,0.1805301019521878,0.28151647940074886,1.3542,0.1879160293543653,0.4917200000000001,0.3382775575693075,4,0.22283295880149814,0.3631,1.2388265025774419,3.9990370727010114,0.10112359550561797,,0.25575716376514673,267,123,0.4606741573033708,1,123,5.32,0.3314499999999801,0.9114000000001852,0.3338873134328376,1.3830000000000382,0.18759545454548227,0.42460000000005493,1.4239999999999213,1.7457999999999174,0.26962622950819676,0.20881000000000002,1.0,134,24.67811417910448,11.3199,67.6003,9.997112985777393,0.0,0.4250492537313434,0.5944,0.7361410447761194,16.52427910447761,1.0,0.0,583.0316293305376,0.40510036193292986,30,0.3706000000000001,0.1632,0.11957068606275219,0.3,0.18989999999999999,1.0,4,4.2682,0,0.0,,,0.50187265917603,0.08239700374531835,0.0149812734082397,0.056179775280898875,0.48314606741573035,0.4606741573033708,0.0449438202247191,0.0149812734082397,0.003745318352059925,0.003745318352059925,DAS,0.26985126050420166,0.20881000000000002,,0.19330666666666665,0.30947073170731704,0.015503333333333369,0.20881000000000002,0.17645833333333336,0.03235166666666667,0.42696629213483145,0.47191011235955055,0.48314606741573035,0.5641345003781313,0.0,9.216750359486761,25.18796992481203,4.13533834586466,0.7518796992481203,0.7976190476190477,0.17857142857142858,0.023809523809523808,DAS,197.42495746268654,79.97689219081978,0.40510021234744586,0.9999999980334938,2.1515888059701482,0.5064407395300129,3.3015,0.23537989142012639,-0.15158880597014926,0.5064407395300129,1.3015,0.4168395522388058,2.3641,0.34328358208955223,0.07462686567164178,10.0,,16.202500000000075,12,37.715957728924224,38.87212670829643,38.166688173343594,0.0,0.0,0.0,0.0,10.90196700591248,0.0,14.275222461023827,4.265297382456898,0.3220253381601753,-1.838540258367587,0.8334466255383933,-0.16167680337082052,-3.7053200273896465,10.24442631031674,7.363729787856652,,1439.2276189253735,car
028/normal_heavy_traffic,T000004,veh004,normal,8.333,15.249532441457157,17.851579994218998,12.960973108914315,0.6810380054177917,16.080188377331837,1.0,9.518579994218998,6.9165324414571545,0.044659599107860624,8.587133879781419,12.1556,1.8057202768430916,7.99203171867781,0.0,0,0,0.0,3.232769221865928,12.831568256842184,2.165227858050301,0,16,12.0628,4.393634029826339,0.03825136612021858,10,5.750839452922282,0.6573765097008388,23.53204132965717,47.97591001821496,13.716227206840813,94.7005,0.582874516268778,28.255000000000027,0.07542028075202732,0.27101821493624745,1.0322,0.16583706253412234,0.49188000000000004,0.3176518684733754,7,0.2057586520947178,0.4651,1.3970322887414937,5.877937831690675,0.19854280510018216,,0.333883112286023,549,234,0.4262295081967213,1,234,10.96,0.3274599999999964,0.9503999999999451,0.33166072727273127,1.5960000000000036,0.10564680851063926,0.3392999999998665,4.70884545454545,9.162300000000187,0.26299056603773596,0.17037837837837838,1.0,275,30.830076000000005,7.823,172.4055,22.51069510189258,0.0,0.42526581818181824,0.7151,0.7428276363636361,16.493663636363642,1.0,0.0,1312.823738342375,0.7301537337077136,50,0.59799,0.2374,0.165088132615922,0.04,0.16127599999999997,1.0,17,4.6251235294117645,0,0.0,,,0.5009107468123861,0.08561020036429873,0.020036429872495445,0.030965391621129327,0.5428051001821493,0.4262295081967213,0.018214936247723135,0.014571948998178506,0.0018214936247723133,0.0018214936247723133,DAS,0.26425077519379847,0.17037837837837838,0.33483333333333337,0.22071176470588233,0.2972294871794871,-0.05033338632750395,0.17037837837837838,0.22363,-0.053251621621621614,0.453551912568306,0.4262295081967213,0.3989071038251366,0.6007195106015834,0.0,15.239942127558548,25.09124087591241,4.288321167883211,1.0036496350364963,0.804093567251462,0.14619883040935672,0.049707602339181284,DAS,246.64064654545456,180.08556350163488,0.7301536304902853,0.9999999975613367,1.7437290909090901,0.7457499041827541,3.4897,0.4276753241490963,0.25487127272727256,0.7445463666253052,1.8,0.6719956363636365,3.2897,0.5854545454545454,0.2545454545454545,2.0,,16.367499999999986,12,25.433986797393757,74.16776356620262,27.103629380282538,0.0,0.0,0.0,0.0,2.2947248474648134,0.0,28.023343541452324,4.8819863685583265,0.6541378590440353,4.71489789580531,1.4475616002978837,0.1641882902355088,2.903748440279005,14.448055627367628,16.680422690669904,,1798.0100323200006,car
