sensor,generated,accepted,skipped,pct_kalman_rows_updated,skip_reasons
GPS,13,13,0,5.4167,
Camera,39,39,0,16.2500,
DAS,93,93,0,38.7500,
(prediction-only),,,,45.8333,prediction_only_rows=110
